[LOG] System::create                           : Header version = 1.10.08. Current version = 1.10.08.
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD Core Audio Output'
[LOG] Manager::init                            : maxchannels = 1024 studioflags = 00000009 flags 00000000 extradriverdata 0x0.
[LOG] SystemI::init                            : Initialize version=11008 (96768), maxchannels=1024, flags=0x00030000
[LOG] OutputCoreAudio::enumerate               : Enumerating...
[LOG] OutputCoreAudio::enumerate               : Found output driver: "Built-in Output".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "Sonarworks Systemwide".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "Pro Tools Aggregate I/O".
[LOG] OutputCoreAudio::enumerate               : Found output driver: "Sammanslagen enhet".
[LOG] OutputCoreAudio::enumerate               : Done.
[LOG] OutputCoreAudio::init                    : Output running 2 channels at 44100Hz sample rate.
[LOG] OutputCoreAudio::init                    : Maximum hardware read size: 1024 samples, Software buffer size: 512 samples, Number of software buffers: 4.
[WRN] SystemI::init                            : Output requires a sample rate of 44100Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: Yes, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0x11a168008 isAsync 1 updatePeriod 0.02
[LOG] Thread::initThread                       : Init FMOD Studio update thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] LiveUpdate::init                         : 
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Profile::init                            : Profiler listening on port: 9264
[ERR] FMOD_OS_File_Open                        : fopen failed to open '/Users/Timos/Documents/FMOD projekt/WaterSound/Build/Desktop/.strings.bank', errno = 2
[ERR] RuntimeBankModel::openFile               : Failed to open file '/Users/Timos/Documents/FMOD projekt/WaterSound/Build/Desktop/.strings.bank'
